A g5 t15 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g5 t16 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g5 t17 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:2
A g5 t18 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g5 t19 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g5 t20 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g5 t21 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g5 t22 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:5
A g5 t23 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:5
A g5 t24 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g5 t25 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:3
A g5 t26 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g5 t27 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:4
A g5 t28 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:5
A g5 t29 l-1 st0 out0 val0 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:5
A g5 t30 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:6
A g5 t31 l-1 st0 out0 val1 w7 m1 a1 p1 H0.000000 | acq:3:1:7 mea:3:6
B g0 t0 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t0 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t0 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t1 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t1 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t1 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t2 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t2 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t2 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t3 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t3 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t3 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t4 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t4 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t4 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t5 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t5 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t5 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t6 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t6 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t6 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t7 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t7 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t7 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t8 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t8 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t8 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t9 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t9 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t9 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t10 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t10 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t10 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t11 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t11 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t11 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t12 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t12 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t12 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t13 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t13 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t13 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t14 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t14 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t14 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t15 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t15 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t15 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t16 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t16 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t16 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t17 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t17 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t17 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t18 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t18 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t18 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t19 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t19 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t19 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t20 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t20 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t20 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t21 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t21 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t21 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t22 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t22 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t22 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t23 l3 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t23 l4 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t23 l5 st0 out0 val0 w32 m0 a0 p1 H0.000000 |
B g0 t24 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t24 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t24 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t25 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t25 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t25 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t26 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t26 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t26 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t27 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t27 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t27 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t28 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t28 l4 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t28 l5 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
B g0 t29 l3 st0 out0 val1 w32 m0 a0 p1 H0.000000 |
